frame,person_id,x1,y1,x2,y2
1,0,726,417,878,593
1,1,716,327,818,455
1,2,723,417,878,716
2,2,723,417,877,715
2,1,716,327,818,454
2,0,725,417,878,593
3,0,725,417,877,593
3,1,716,328,818,455
4,1,716,327,818,454
4,0,725,417,877,593
5,1,715,327,818,454
5,0,724,416,877,594
6,0,724,416,876,593
6,1,714,327,817,454
7,0,724,416,876,593
7,1,714,327,817,455
8,0,725,415,876,593
8,1,713,327,817,455
9,0,724,415,876,594
9,1,713,326,818,456
10,1,713,326,817,457
10,0,724,414,876,595
11,1,713,326,817,457
11,0,723,415,875,595
12,0,723,415,875,595
12,1,712,326,817,457
13,1,711,326,816,457
13,0,723,415,874,596
14,0,723,416,874,598
14,1,711,327,816,456
15,0,722,417,874,598
15,1,711,327,816,456
16,1,711,327,817,456
16,0,721,417,875,598
16,2,719,416,875,718
17,1,712,327,817,455
17,2,718,417,876,718
17,0,719,418,876,598
18,1,711,327,816,455
18,0,718,419,877,599
19,0,716,419,878,599
19,1,713,327,816,457
20,1,712,326,817,456
20,0,716,421,879,599
21,1,712,327,816,455
21,0,714,422,880,599
22,1,712,327,816,455
22,0,713,423,881,599
22,2,711,421,880,719
23,1,711,326,816,455
23,0,712,423,881,599
24,0,711,424,881,599
24,1,711,326,817,456
25,1,711,327,817,456
25,0,710,425,881,598
26,0,710,426,881,598
26,1,711,326,818,457
26,2,709,425,881,718
27,2,709,426,881,717
27,0,710,427,881,598
27,1,710,326,818,457
28,1,710,326,818,457
28,2,709,428,880,717
28,0,710,429,881,598
29,1,710,326,818,458
29,2,708,428,880,717
29,0,710,430,881,598
30,2,709,429,880,717
30,0,710,431,880,598
30,1,710,326,818,457
31,2,709,430,879,717
31,0,710,431,880,598
31,1,711,327,818,457
32,2,709,430,879,717
32,1,711,327,818,458
32,0,711,432,879,598
33,0,711,433,879,599
33,1,711,326,818,457
33,2,709,431,878,717
34,1,712,326,818,457
34,2,710,432,878,717
34,0,712,433,878,599
35,2,710,432,878,717
35,1,712,326,818,456
35,0,712,433,879,599
36,2,710,432,879,717
36,1,711,326,818,457
36,0,712,433,879,599
37,1,711,326,817,457
37,2,710,431,879,718
37,0,713,433,880,599
38,0,712,433,880,599
38,2,710,432,880,717
38,1,712,326,817,455
39,2,710,433,881,716
39,0,712,434,881,599
39,1,713,326,817,454
40,2,710,433,881,717
40,0,712,433,882,599
40,1,712,327,816,455
41,0,712,434,882,599
41,2,710,433,882,717
41,1,711,326,815,454
42,2,710,433,882,718
42,0,713,434,883,599
42,1,713,327,815,452
43,0,712,434,882,599
43,2,710,433,882,717
43,1,712,326,813,454
44,2,710,436,882,718
44,1,711,326,813,455
44,0,713,436,883,599
45,0,713,438,883,599
45,2,710,437,882,715
45,1,712,327,813,457
46,0,713,438,882,599
46,2,710,437,882,716
46,1,713,327,814,459
47,2,710,437,882,717
47,0,713,438,883,599
47,1,713,327,814,461
48,2,710,437,882,717
48,0,712,439,883,598
48,1,712,327,814,462
49,2,710,437,882,717
49,0,712,439,883,598
49,1,712,327,814,465
50,2,710,437,882,717
50,0,712,438,883,599
50,1,712,327,814,464
51,2,710,437,883,717
51,0,712,438,883,599
51,1,712,327,814,463
52,0,712,439,883,599
52,2,710,437,883,717
52,1,712,327,814,460
53,2,710,437,883,717
53,0,712,438,883,598
53,1,713,327,814,459
54,0,712,438,883,599
54,2,709,438,882,716
54,1,713,327,815,458
55,2,709,438,882,716
55,0,711,438,883,599
55,1,711,327,816,458
56,0,711,438,883,600
56,2,709,437,883,716
56,1,711,327,816,458
57,0,711,438,883,600
57,2,709,438,882,714
57,1,708,328,817,455
58,2,710,436,882,713
58,0,711,437,882,601
58,1,712,328,817,455
59,0,711,437,882,601
59,2,710,436,882,710
59,1,710,328,818,456
60,2,710,436,882,714
60,1,712,328,818,454
61,2,711,434,882,717
61,1,710,328,818,457
62,1,711,328,818,458
62,2,711,432,881,717
62,0,712,433,881,608
63,1,711,329,818,458
63,2,711,430,880,717
64,2,710,429,878,717
64,1,712,329,818,456
65,2,710,428,876,718
65,1,711,329,818,454
66,2,709,427,875,718
66,1,712,329,818,456
67,2,709,425,873,717
67,1,711,329,818,453
68,1,711,329,818,453
68,2,709,424,872,717
69,2,709,423,873,717
69,1,712,329,818,453
70,2,709,422,873,717
70,1,713,330,818,451
71,2,709,422,873,716
71,1,713,330,818,451
72,2,709,422,873,716
72,1,713,330,818,451
73,2,709,422,873,716
73,1,713,330,818,451
74,1,713,330,818,452
74,2,709,421,873,717
75,2,709,420,873,717
75,1,712,330,818,453
76,2,708,421,873,717
76,1,712,330,818,454
77,2,708,421,873,717
77,1,711,330,818,456
78,2,708,421,873,717
78,1,711,330,818,456
79,2,708,421,873,717
79,1,711,331,818,455
80,2,708,420,873,717
80,1,711,331,818,455
81,1,711,331,818,454
81,2,709,420,873,717
82,2,709,419,873,717
82,1,712,331,818,453
83,2,709,417,873,717
83,1,711,331,817,454
84,2,709,415,872,717
84,1,712,331,817,454
85,2,709,413,873,716
85,1,713,331,818,453
86,2,709,411,873,717
