person_id,start_frame,end_frame,label,reason,source
0,13,91,0,MANUAL,MANUAL
3,13,91,0,MANUAL,MANUAL
0,105,543,1,MANUAL,MANUAL
3,105,543,1,MANUAL,MANUAL
5,105,543,1,MANUAL,MANUAL
0,553,729,0,MANUAL,MANUAL
3,553,729,0,MANUAL,MANUAL
5,553,729,0,MANUAL,MANUAL
0,731,1180,1,MANUAL,MANUAL
8,731,1180,1,MANUAL,MANUAL
3,731,1180,1,MANUAL,MANUAL
5,731,1180,1,MANUAL,MANUAL
0,1199,1346,0,MANUAL,MANUAL
8,1199,1346,0,MANUAL,MANUAL
3,1199,1346,0,MANUAL,MANUAL
5,1199,1346,0,MANUAL,MANUAL
0,1366,1791,1,MANUAL,MANUAL
3,1366,1791,1,MANUAL,MANUAL
5,1366,1791,1,MANUAL,MANUAL
8,1366,1791,1,MANUAL,MANUAL
18,1366,1791,1,MANUAL,MANUAL
0,1817,2413,0,MANUAL,MANUAL
3,1817,2413,0,MANUAL,MANUAL
5,1817,2413,0,MANUAL,MANUAL
8,1817,2413,0,MANUAL,MANUAL
18,1817,2413,0,MANUAL,MANUAL
19,1817,2413,0,MANUAL,MANUAL
1,10,737,0,MANUAL,MANUAL
3,10,737,0,MANUAL,MANUAL
18,10,737,0,MANUAL,MANUAL
1,759,1160,1,MANUAL,MANUAL
3,759,1160,1,MANUAL,MANUAL
18,759,1160,1,MANUAL,MANUAL
1,1182,1368,0,MANUAL,MANUAL
3,1182,1368,0,MANUAL,MANUAL
18,1182,1368,0,MANUAL,MANUAL
1,1386,1432,1,MANUAL,MANUAL
3,1386,1432,1,MANUAL,MANUAL
18,1386,1432,1,MANUAL,MANUAL
1,1460,1513,0,MANUAL,MANUAL
3,1460,1513,0,MANUAL,MANUAL
18,1460,1513,0,MANUAL,MANUAL
1,1532,1795,1,MANUAL,MANUAL
3,1532,1795,1,MANUAL,MANUAL
18,1532,1795,1,MANUAL,MANUAL
1,1826,2413,0,MANUAL,MANUAL
3,1826,2413,0,MANUAL,MANUAL
18,1826,2413,0,MANUAL,MANUAL
2,8,124,0,MANUAL,MANUAL
3,8,124,0,MANUAL,MANUAL
18,8,124,0,MANUAL,MANUAL
2,133,510,1,MANUAL,MANUAL
3,133,510,1,MANUAL,MANUAL
4,133,510,1,MANUAL,MANUAL
18,133,510,1,MANUAL,MANUAL
2,514,792,0,MANUAL,MANUAL
3,514,792,0,MANUAL,MANUAL
3,792,1083,0,MANUAL,MANUAL
7,792,1083,0,MANUAL,MANUAL
3,1206,1541,0,MANUAL,MANUAL
7,1206,1541,0,MANUAL,MANUAL
12,1206,1541,0,MANUAL,MANUAL
3,1572,1799,1,MANUAL,MANUAL
7,1572,1799,1,MANUAL,MANUAL
12,1572,1799,1,MANUAL,MANUAL
3,1841,2159,0,MANUAL,MANUAL
7,1841,2159,0,MANUAL,MANUAL
12,1841,2159,0,MANUAL,MANUAL
3,2176,2384,1,MANUAL,MANUAL
7,2176,2384,1,MANUAL,MANUAL
12,2176,2384,1,MANUAL,MANUAL
